Provinsi;"Jumlah Kendaraan Bermotor 
- Mobil Penumpang";"Jumlah Kendaraan 
Bermotor - Bus";"Jumlah Kendaraan 
Bermotor - Truk";"Jumlah Kendaraan Bermotor 
- Sepeda Motor";"Jumlah Kendaraan 
Bermotor - Jumlah"
Aceh;202.765;2.665;77.880;2.342.010;2.625.320
Bali;522.639;15.327;182.920;4.291.982;5.012.868
Banten;1.005.073;11.941;240.476;6.877.719;8.135.209
Bengkulu;126.355;932;55.369;1.022.110;1.204.766
DI Yogyakarta;374.670;4.307;72.848;2.770.490;3.222.315
DKI Jakarta;2.272.301;34.877;500.146;8.889.450;11.696.774
Gorontalo;39.307;328;29.968;431.203;500.806
Jambi;201.812;24.133;132.151;2.331.002;2.689.098
Jawa Barat;2.819.163;33.038;747.328;22.355.333;25.954.862
Jawa Tengah;1.627.049;36.626;673.839;18.499.683;20.837.197
Jawa Timur;5.439.502;43.261;781.907;18.885.567;25.150.237
Kalimantan Barat;183.665;1.794;120.195;2.827.741;3.133.395
Kalimantan Selatan;260.934;3.736;158.302;2.653.889;3.076.861
Kalimantan Tengah;123.296;1.778;86.381;1.453.791;1.665.246
Kalimantan Timur;331.652;7.201;216.361;2.883.046;3.438.260
Kalimantan Utara;22.197;233;15.321;245.007;282.758
"Kepulauan Bangka 
Belitung";94.813;1.249;51.360;1.069.148;1.216.570
Kepulauan Riau;221.401;2.474;39.002;1.235.563;1.498.440
Lampung;338.003;3.436;195.309;3.589.408;4.126.156
Maluku;30.428;515;16.361;345.008;392.312
Maluku Utara;23.855;169;14.843;306.174;345.041
Nusa Tenggara Barat;119.552;2.951;91.265;1.988.623;2.202.391
Nusa Tenggara Timur;69.960;3.046;64.023;912.748;1.049.777
Papua;96.074;1.591;50.228;709.128;857.021
Papua Barat;39.189;430;20.107;344.392;404.118
Riau;431.667;5.644;237.836;3.868.487;4.543.634
Sulawesi Barat;25.081;81;16.270;376.690;418.122
Sulawesi Selatan;604.468;5.447;230.922;4.292.112;5.132.949
Sulawesi Tengah;98.223;679;51.236;976.940;1.127.078
Sulawesi Tenggara;192.491;364;51.446;929.726;1.174.027
Sulawesi Utara;160.618;1.647;76.796;901.053;1.140.114
Sumatera Barat;360.373;4.506;127.657;2.384.746;2.877.282
Sumatera Selatan;439.359;7.066;343.386;3.444.660;4.234.471
Sumatera Utara;812.499;9.321;317.860;6.616.681;7.756.361
