Provinsi;Jumlah Kendaraan Bermotor - Mobil Penumpang;Jumlah Kendaraan Bermotor - Bus;Jumlah Kendaraan Bermotor - Truk;"Jumlah Kendaraan 
Bermotor - Sepeda Motor";"Jumlah Kendaraan 
Bermotor - Jumlah"
Aceh;223.567 (*);3.021 (*);81.937 (*);2.590.309 (*);2.898.834
Bali;569.311 (*);16.611 (*);195.797 (*);4.756.197 (*);5.537.916
Banten;1.066.756 (*);13.883 (*);252.329 (*);7.499.678 (*);8.832.646
Bengkulu;134.151 (*);995 (*);57.412 (*);1.128.153 (*);1.320.711
DI Yogyakarta;403.714 (*);4.842 (*);78.057 (*);2.948.478 (*);3.435.091
DKI Jakarta;2.336.960 (*);37.981 (*);527.841 (*);9.376.276 (*);12.279.058
Gorontalo;44.716 (*);390 (*);33.928 (*);522.293 (*);601.327
Jambi;227.145 (*);33.720 (*);152.952 (*);2.582.655 (*);2.996.472
Jawa Barat;2.980.773 (*);36.679 (*);779.518 (*);24.260.590 (*);28.057.560
Jawa Tengah;1.741.611 (*);39.734 (*);700.639 (*);19.838.639 (*);22.320.623
Jawa Timur;5.588.804 (*);48.012 (*);816.582 (*);20.246.077 (*);26.699.475
Kalimantan Barat;208.654 (*);1.940 (*);131.759 (*);3.181.143 (*);3.523.496
Kalimantan Selatan;290.821 (*);4.223 (*);168.410 (*);2.896.477 (*);3.359.931
Kalimantan Tengah;145.990 (*);2.027 (*);96.453 (*);1.644.478 (*);1.888.948
Kalimantan Timur;365.121 (*);7.828 (*);235.359 (*);3.209.385 (*);3.817.693
Kalimantan Utara;28.488 (*);334 (*);20.685 (*);36.2141 (*);411.648
Kepulauan Bangka Belitung;101.724 (*);1.316 (*);54.248 (*);1.123.495 (*);1.280.783
Kepulauan Riau;244.363 (*);2.787 (*);42.196 (*);1.397.762 (*);1.687.108
Lampung;370.097 (*);3.734 (*);203.540 (*);3.852.887 (*);4.430.258
Maluku;33.022 (*);530 (*);17.328 (*);39.5008 (*);445.888
Maluku Utara;26.931 (*);194 (*);16.931 (*);37.0868 (*);414.924
Nusa Tenggara Barat;132.806 (*);3.297 (*);99.754 (*);2.244.140 (*);2.479.997
Nusa Tenggara Timur;80.827 (*);3.381 (*);74.550 (*);106.1305 (*);1.220.063
Papua;66.130 (*);957 (*);25.494 (*);42.0812 (*);513.393
Papua Barat;16.392 (*);187 (*);10.302 (*);17.6279 (*);203.160
Papua Barat Daya;25.293 (*);301 (*);11.179 (*);199.916 (*);236.689
Papua Pegunungan;3.906 (*);172 (*);6.062 (*);34.773 (*);44.913
Papua Selatan;15.580 (*);182 (*);11.891 (*);164.074 (*);191.727
Papua Tengah;26.021 (*);533 (*);14.268 (*);24.2364 (*);283.186
Riau;472.776 (*);6.225 (*);256.187 (*);4.288.370 (*);5.023.558
Sulawesi Barat;30.776 (*);103 (*);20.050 (*);446.477 (*);497.406
Sulawesi Selatan;66.0750 (*);6.123 (*);249.085 (*);4.719.350 (*);5.635.308
Sulawesi Tengah;127.088 (*);1.214 (*);67.817 (*);1.470.064 (*);1.666.183
Sulawesi Tenggara;205.394 (*);496 (*);57.324 (*);1.073.231 (*);1.336.445
Sulawesi Utara;174.059 (*);1.704 (*);81.259 (*);1.005.472 (*);1.262.494
Sumatera Barat;386.835 (*);4.959 (*);134.595 (*);2.584.223 (*);3.110.612
Sumatera Selatan;478.605 (*);7.457 (*);356.840 (*);3.763.804 (*);4.606.706
Sumatera Utara;872.015 (*);10.541 (*);333.530 (*);7.169.777 (*);8.385.863
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
